requirement_id,title,clean_source_type,clean_source_reference,black_box_cases,black_box_status,authorized_asset,source_analysis_card,reviewer,sanitization_status
ARCH-001,Local-first Windows macOS Linux application,user decision,AUTHORIZATIONS.md owner decision provenance 2026-07-27 record OD-2026-07-27-ARCH,,,,,source-aware-reviewer-2026-07-27-A,PASS
ARCH-002,Continuous archive-then-knowledge workflow,user decision,AUTHORIZATIONS.md owner decision provenance 2026-07-27 record OD-2026-07-27-ARCH,,,,,source-aware-reviewer-2026-07-27-A,PASS
ARCH-003,Single authoritative Vault,user decision,AUTHORIZATIONS.md owner decision provenance 2026-07-27 record OD-2026-07-27-ARCH,,,,,source-aware-reviewer-2026-07-27-A,PASS
FILE-001,Stable SHA-256 content identity across rename and relocation,user decision,AUTHORIZATIONS.md owner decision provenance 2026-07-27 record OD-2026-07-27-FILE,,,,,source-aware-reviewer-2026-07-27-A,PASS
FILE-002,Readable SHA-256-verified registered original,user decision,AUTHORIZATIONS.md owner decision provenance 2026-07-27 record OD-2026-07-27-FILE,BB-008,blocked_not_observed,,,source-aware-reviewer-2026-07-27-A,PASS
FILE-003,Derived artifacts never replace originals,user decision,AUTHORIZATIONS.md owner decision provenance 2026-07-27 record OD-2026-07-27-FILE,,,,,source-aware-reviewer-2026-07-27-A,PASS
FILE-004,Verified atomic file-operation commit,user decision,AUTHORIZATIONS.md owner decision provenance 2026-07-27 record OD-2026-07-27-FILE,BB-008,blocked_not_observed,,,source-aware-reviewer-2026-07-27-A,PASS
FILE-005,Source preserved by default,user decision,AUTHORIZATIONS.md owner decision provenance 2026-07-27 record OD-2026-07-27-FILE,BB-006;BB-007;BB-008,blocked_not_observed,,,source-aware-reviewer-2026-07-27-A,PASS
NAME-001,Replace unreadable or meaningless names,user decision,AUTHORIZATIONS.md owner decision provenance 2026-07-27 record OD-2026-07-27-NAME,BB-004,blocked_not_observed,,,source-aware-reviewer-2026-07-27-A,PASS
NAME-002,Preserve meaningful tokens and extension,user decision,AUTHORIZATIONS.md owner decision provenance 2026-07-27 record OD-2026-07-27-NAME,,,,,source-aware-reviewer-2026-07-27-A,PASS
